Question #,Type,Question Text,Provided Answer(s),Verified Answer(s),Status,Evidence,Reference,Notes,Accuracy
Q1,multi,"To maintain security efficacy of its public cloud resources by using native tools, a company purchases Cloud NGFW credits to replicate the Panorama, PA-Series, and VM-Series devices used in physical data centers. Resources exist on AWS and Azure:
The AWS deployment is architected with AWS Transit Gateway, to which all resources connect The Azure deployment is architected with each application independently routing traffic The engineer deploying Cloud NGFW in these two cloud environments must account for the following:
Minimize changes to the two cloud environments Scale to the demands of the applications while using the least amount of compute resources Allow the company to unify the Security policies across all protected areas Which two implementations will meet these requirements? (Choose two.)","B: Deploy Cloud NGFW for Azure in vNET/s, update the vNET/s routing to path traffic through the deployed NGFWs, and manage the policy with Panorama.; D: Deploy Cloud NGFW for AWS in a centralized Security VPC, update the Transit Gateway to route all appropriate traffic through the Security VPC, and manage the policy with Panorama.",BD,CORRECT,Official docs confirm Cloud NGFW Azure supports both VNet and vWAN. Cloud NGFW AWS integrates with Transit Gateway.,"docs.paloaltonetworks.com - Cloud NGFW deployment architectures, learn.microsoft.com - Azure Cloud NGFW FAQ",Both BD correctly use managed Cloud NGFW with Panorama for unified policy,"95% - Answer matches official docs, minor notes"
Q2,single,"During an upgrade to the routing infrastructure in a customer environment, the network administrator wants to implement Advanced Routing Engine (ARE) on a Palo Alto Networks firewall.
Which firewall models support this configuration?","A: PA-5280, PA-7080, PA-3250, VM-Series",A,CORRECT,"PAN-OS 10.2 Admin Guide: ARE supports PA-7000, PA-5400, PA-5200, PA-3400, PA-3200, PA-1400, PA-400, CN-Series, VM-Series.",docs.paloaltonetworks.com/pan-os/10-2 - Advanced Routing Engine,"Note: Option D also contains valid models (PA-7050, PA-1420, VM-Series, CN-Series) but single-choice exam answer is A","95% - Answer matches official docs, minor notes"
Q3,multi,Which two statements apply to configuring required security rules when setting up an IPSec tunnel between a Palo Alto Networks firewall and a third- party gateway? (Choose two.),"A: For incoming and outgoing traffic through the tunnel, creating separate rules for each direction is optional.; B: The IKE negotiation and IPSec/ESP packets are allowed by default via the intrazone default allow policy.",AB,CORRECT,PAN-OS IPSec docs: Intrazone-default allows traffic within same zone. IKE/ESP between tunnel zone is intrazone.,docs.paloaltonetworks.com - IPSec VPN configuration,"Tunnel interface in same zone as itself = intrazone traffic, allowed by default","95% - Answer matches official docs, minor notes"
Q4,single,Which statement describes the role of Terraform in deploying Palo Alto Networks NGFWs?,C: It provides Infrastructure-as-Code (IaC) to automate NGFW deployment.,C,CORRECT,Official Terraform docs for PAN: Provides IaC to automate NGFW deployment.,docs.paloaltonetworks.com - Terraform Support for Cloud NGFW AWS,Clear definition - Terraform is Infrastructure as Code,"95% - Answer matches official docs, minor notes"
Q5,single,"By default, which type of traffic is configured by service route configuration to use the management interface?",D: Autonomous Digital Experience Manager (ADEM),D,CORRECT,Knowledgebase: By default firewall uses MGT for PAN cloud services including ADEM.,knowledgebase.paloaltonetworks.com - Service Routes,"ADEM is a PAN cloud service using MGT by default, similar to AutoFocus, WildFire etc.","95% - Answer matches official docs, minor notes"
Q6,single,"In regard to the Advanced Routing Engine (ARE), what must be enabled first when configuring a logical router on a PAN-OS firewall?",D: General setting,D,CORRECT,"PAN-OS 10.2 docs: Enable advanced routing in general settings first, then configure logical router.",docs.paloaltonetworks.com/pan-os/10-2 - Advanced Routing Engine,No license needed - enabled via Device > Setup > General settings,"95% - Answer matches official docs, minor notes"
Q7,multi,Which two zone types are valid when configuring a new security zone? (Choose two.),A: Tunnel; D: Virtual Wire,AD,CORRECT,"PAN-OS docs: Valid zone types include Tap, Virtual Wire, Layer 2, Layer 3, Tunnel, External.",docs.paloaltonetworks.com - Security Zones,Tunnel zone type exists for tunnel interfaces (needs Layer 3 sub-type),"95% - Answer matches official docs, minor notes"
Q8,single,"An organization has configured GlobalProtect in a hybrid authentication model using both certificate-based authentication for the pre-logon stage and SAML-based multi-factor authentication (MFA) for user logon.
How does the GlobalProtect agent process the authentication flow on Windows endpoints?","A: The GlobalProtect agent uses the machine certificate to establish a pre-logon tunnel; upon user sign-in, it prompts for SAML-based MFA credentials, ensuring both device and user identities are validated before granting full access.",A,CORRECT,"GlobalProtect Admin Guide: Hybrid auth uses machine cert for pre-logon tunnel, SAML MFA upon user sign-in.",docs.paloaltonetworks.com - GlobalProtect authentication,,100% - 100% verified against official docs
Q9,single,"An NGFW engineer is configuring multiple Panorama-managed firewalls to start sending all logs to Strata Logging Service. The Strata Logging Service instance has been provisioned, the required device certificates have been installed, and Panorama and the firewalls have been successfully onboarded to Strata Logging Service.
Which configuration task must be performed to start sending the logs to Strata Logging Service and continue forwarding them to the Panorama log collectors as well?",C: Select the “Enable Duplicate Logging” option in the Cloud Logging section under Device --> Setup --> Management in the appropriate templates.,C,CORRECT,PAN-OS docs: Enable Duplicate Logging under Device > Setup > Management for dual forwarding.,docs.paloaltonetworks.com - Strata Logging Service,,100% - 100% verified against official docs
Q10,single,"An NGFW engineer is configuring multiple Layer 2 interfaces on a Palo Alto Networks firewall, and all interfaces must be assigned to the same VLAN. During initial testing, it is reported that clients located behind the various interfaces cannot communicate with each other.
Which action taken by the engineer will resolve this issue?",C: Assign each interface to the appropriate Layer 2 zone and configure Security policies for interfaces not assigned to the same zone.,C,CORRECT,"If interfaces in different Layer 2 zones, inter-zone Security policy required. Intra-zone allows by default.",docs.paloaltonetworks.com - Layer 2 interfaces,If interfaces already in same zone traffic would flow. Different zones → need policy.,"95% - Answer matches official docs, minor notes"
